url_length,num_dots,has_https,has_at_symbol,has_ip,domain_length,has_hyphen,subdomain_count,suspicious_tld,url_shortener,special_char_ratio,suspicious_keywords,brand_keywords,is_phishing
44,2,1,0,0,30,1,1,0,0,0.1590909090909091,0,0,1
39,2,1,0,0,30,0,1,0,0,0.10256410256410256,0,0,1
35,2,1,0,0,19,1,1,0,0,0.14285714285714285,0,0,1
27,1,1,0,0,9,0,0,0,0,0.18518518518518517,0,0,1
34,2,1,0,0,17,0,0,0,0,0.11764705882352941,0,0,1
42,2,1,0,0,24,0,1,0,0,0.14285714285714285,0,0,1
19,1,1,0,0,10,0,0,0,0,0.21052631578947367,0,0,1
19,1,1,0,0,10,0,0,0,0,0.21052631578947367,0,0,1
19,1,1,0,0,10,0,0,0,0,0.21052631578947367,0,0,1
26,2,1,0,0,17,0,1,0,0,0.15384615384615385,0,0,1
27,2,1,0,0,18,1,1,0,0,0.18518518518518517,0,0,1
32,2,1,0,0,23,0,1,0,0,0.125,0,0,1
28,2,1,0,0,19,1,1,0,0,0.17857142857142858,0,0,1
33,1,1,0,0,15,0,0,0,0,0.15151515151515152,0,0,1
33,2,1,0,0,24,1,1,0,0,0.15151515151515152,0,0,1
30,2,1,0,0,21,1,1,0,0,0.16666666666666666,0,0,1
35,2,1,0,0,26,1,1,0,0,0.14285714285714285,0,0,1
38,2,1,0,0,29,1,1,0,0,0.13157894736842105,0,0,1
39,2,1,0,0,15,0,1,0,0,0.10256410256410256,0,0,1
65,2,1,1,0,32,0,0,0,0,0.12307692307692308,0,0,1
38,3,1,0,0,29,0,2,0,1,0.10526315789473684,0,0,1
135,6,1,1,0,20,1,1,0,0,0.13333333333333333,0,0,1
95,3,1,1,0,12,0,0,0,0,0.1368421052631579,0,0,1
77,2,1,0,0,68,0,1,0,0,0.05194805194805195,0,0,1
381,7,1,1,0,51,1,1,0,1,0.07874015748031496,0,0,1
51,2,1,0,0,40,1,1,0,0,0.2549019607843137,0,0,1
59,2,1,1,0,27,0,0,0,0,0.13559322033898305,0,0,1
46,1,1,0,0,15,0,0,0,0,0.13043478260869565,1,0,1
18,1,1,0,0,9,0,0,0,0,0.2222222222222222,0,0,1
41,1,1,0,0,10,0,0,0,0,0.14634146341463414,1,0,1
20,1,1,0,0,11,0,0,0,0,0.2,0,0,1
61,2,1,1,0,30,0,0,0,0,0.13114754098360656,0,0,1
68,2,1,1,0,31,0,0,0,0,0.11764705882352941,0,0,1
41,1,1,0,0,10,0,0,0,0,0.14634146341463414,1,0,1
68,2,1,1,0,31,0,0,0,0,0.11764705882352941,0,0,1
65,2,1,1,0,33,0,0,0,0,0.12307692307692308,0,0,1
58,2,1,1,0,29,0,0,0,0,0.13793103448275862,0,0,1
86,2,1,1,0,50,1,0,0,0,0.13953488372093023,0,0,1
35,1,1,0,0,26,1,0,0,0,0.17142857142857143,0,0,1
45,2,1,0,0,36,1,1,0,0,0.1111111111111111,0,0,1
29,1,1,0,0,20,1,0,0,0,0.20689655172413793,0,0,1
45,2,1,0,0,20,1,0,0,0,0.15555555555555556,0,0,1
26,2,0,0,0,18,0,1,0,0,0.15384615384615385,0,0,1
21,1,1,0,0,12,1,0,0,0,0.23809523809523808,0,0,1
27,2,1,0,0,18,1,1,0,0,0.18518518518518517,0,0,1
42,1,1,0,0,11,1,0,0,0,0.16666666666666666,0,0,1
49,3,1,0,0,40,1,2,0,0,0.16326530612244897,1,0,1
167,2,1,0,0,15,0,1,0,0,0.10179640718562874,0,1,1
22,1,0,0,0,15,0,0,0,0,0.13636363636363635,0,0,1
27,2,1,0,0,18,1,1,0,0,0.18518518518518517,0,0,1
24,1,1,0,0,7,0,0,0,0,0.16666666666666666,0,0,1
32,2,0,0,0,25,0,1,0,0,0.09375,0,0,1
28,2,1,0,0,19,0,1,0,0,0.14285714285714285,0,0,1
35,2,1,0,0,26,0,1,0,0,0.11428571428571428,0,0,1
35,2,1,0,0,17,0,1,0,0,0.11428571428571428,0,0,1
31,2,1,0,0,22,1,1,0,0,0.16129032258064516,0,0,1
37,2,1,0,0,28,1,1,0,0,0.13513513513513514,0,0,1
32,2,0,0,0,25,1,1,0,0,0.15625,0,0,1
48,2,1,0,0,40,1,1,0,0,0.20833333333333334,0,0,1
30,2,1,0,0,19,0,1,0,0,0.13333333333333333,0,0,1
48,2,1,0,0,40,1,1,0,0,0.14583333333333334,0,0,1
52,2,1,0,0,10,0,0,0,0,0.11538461538461539,1,0,1
239,1,1,0,0,23,1,0,0,0,0.03347280334728033,0,0,1
31,1,1,0,0,23,0,0,0,0,0.0967741935483871,1,0,1
21,1,1,0,0,13,0,0,0,0,0.14285714285714285,0,0,1
57,3,1,0,0,29,1,1,0,0,0.12280701754385964,0,0,1
40,2,1,0,0,31,1,1,0,0,0.15,0,0,1
32,2,1,0,0,19,0,1,0,0,0.15625,0,0,1
20,1,0,0,0,13,1,0,0,0,0.2,0,0,1
55,3,1,0,0,29,1,1,0,0,0.12727272727272726,0,0,1
43,2,1,0,0,25,0,1,0,0,0.13953488372093023,0,0,1
45,2,1,0,0,36,1,1,0,0,0.15555555555555556,0,0,1
30,2,1,0,0,21,0,1,0,0,0.13333333333333333,0,0,1
37,2,1,0,0,28,0,1,0,0,0.10810810810810811,0,0,1
34,2,1,0,0,25,1,1,0,0,0.14705882352941177,0,0,1
36,2,1,0,0,28,0,1,0,1,0.08333333333333333,0,0,1
31,2,1,0,0,22,0,1,0,0,0.12903225806451613,0,0,1
25,1,1,0,0,9,0,0,0,0,0.2,0,0,1
43,3,1,0,0,28,0,2,0,1,0.11627906976744186,0,0,1
38,2,0,0,0,31,1,1,0,0,0.10526315789473684,0,0,1
29,2,1,0,0,20,1,1,0,0,0.1724137931034483,0,0,1
26,2,1,0,0,17,0,1,0,0,0.15384615384615385,0,0,1
38,2,1,0,0,29,1,1,0,0,0.15789473684210525,0,0,1
39,2,1,0,0,30,1,1,0,0,0.1794871794871795,0,0,1
