has_ip,has_https,suspicious_tld,domain_length,subdomain_count,excessive_subdomains,ultra_excessive_subdomains,has_hyphen_in_domain,multiple_hyphens,high_digit_ratio,high_domain_entropy,url_length,extremely_long_url,suspicious_url_length,deep_path,long_query,path_length,query_length,keyword_count,has_phishing_keywords,multiple_phishing_keywords,has_brand_impersonation,has_suspicious_domain_pattern,is_shortener,has_at_symbol,has_double_slash,special_char_density,high_special_char_density,homograph_risk,potential_typosquatting,risk_factor_count,multiple_critical_risks,ultra_high_risk,is_phishing
0,1,0,7,1,0,0,0,0,0,0,44,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0.06818181818181818,0,0,0,0,0,0,1
0,1,0,6,1,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1
0,1,0,5,1,0,0,0,0,0,0,35,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,1
0,1,1,5,0,0,0,0,0,0,0,27,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,13,0,0,0,0,0,0,1,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,0,7,1,0,0,0,0,0,0,42,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.047619047619047616,0,0,0,0,0,0,1
0,1,1,6,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,6,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,6,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,6,1,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,9,1,0,0,1,0,0,1,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,1,0,0,1
0,1,0,5,1,0,0,0,0,0,0,32,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,8,1,0,0,1,0,0,0,28,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.03571428571428571,0,0,0,1,0,0,1
0,1,1,11,0,0,0,0,0,1,0,33,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1
0,1,1,8,1,0,0,1,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.030303030303030304,0,0,0,1,0,0,1
0,1,1,8,1,0,0,1,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,1,0,0,1
0,1,1,9,1,0,0,1,0,0,1,35,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.02857142857142857,0,0,0,1,0,0,1
0,1,1,14,1,0,0,1,0,0,1,38,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.02631578947368421,0,0,0,2,1,0,1
0,1,0,7,1,0,0,0,0,0,0,39,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1
0,1,0,5,0,0,0,0,0,0,0,65,0,0,0,0,1,23,0,0,0,0,0,0,1,0,0.03076923076923077,0,0,0,0,0,0,1
0,1,0,2,2,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,0,0,1
0,1,0,12,1,0,0,1,0,0,1,135,1,1,0,1,1,80,0,0,0,0,0,0,1,1,0.05185185185185185,0,0,0,0,0,0,1
0,1,0,8,0,0,0,0,0,0,0,95,0,1,0,0,1,27,0,0,0,0,0,0,1,0,0.07368421052631578,0,0,0,0,0,0,1
0,1,0,5,1,0,0,0,0,0,0,77,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1
0,1,0,7,1,0,0,0,0,0,0,381,1,1,0,1,24,272,0,0,0,0,0,1,1,1,0.049868766404199474,0,0,0,1,0,0,1
0,1,0,7,1,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.17647058823529413,1,0,0,0,0,0,1
0,1,0,4,0,0,0,0,0,0,0,59,0,0,0,0,1,22,0,0,0,0,0,0,1,0,0.03389830508474576,0,0,0,0,0,0,1
0,1,0,11,0,0,0,0,0,0,1,46,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0.021739130434782608,0,0,0,0,0,0,1
0,1,0,6,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1
0,1,1,6,0,0,0,0,0,0,0,41,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0.024390243902439025,0,0,0,1,0,0,1
0,1,0,8,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1
0,1,0,4,0,0,0,0,0,0,0,61,0,0,0,0,1,21,0,0,0,0,0,0,1,0,0.03278688524590164,0,0,0,0,0,0,1
0,1,0,4,0,0,0,0,0,0,0,68,0,0,0,0,1,27,0,0,0,0,0,0,1,0,0.029411764705882353,0,0,0,0,0,0,1
0,1,1,6,0,0,0,0,0,0,0,41,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0.024390243902439025,0,0,0,1,0,0,1
